time,batteryPercent,steps,activeSeconds,temperaturesC
2026-07-01T05:00:00.000Z,73,9,3,34.2;34.6;34.8;33.6;33.6;34.5;33.9;34.9;34.0;34.0;34.5;33.5;34.3;34.0;34.1
2026-07-01T05:15:00.000Z,72,1,5,34.2;34.0;34.2;34.9;34.0;34.2;34.5;34.5;34.7;34.0;33.8;34.8;34.0;33.9;34.3
2026-07-01T05:30:00.000Z,71,3,4,34.1;33.3;34.4;34.4;34.4;33.9;34.1;34.5;34.3;34.0;34.6;34.5;33.7;34.4;33.3
2026-07-01T05:45:00.000Z,70,0,0,34.5;33.8;34.1;33.9;34.1;33.7;33.7;34.7;34.4;34.1;34.4;34.1;34.0;34.7;34.7
2026-07-01T06:00:00.000Z,69,0,0,34.3;34.3;34.8;34.5;34.2;34.1;34.7;33.7;33.8;33.9;33.8;33.9;35.0;34.3;34.2
2026-07-01T06:15:00.000Z,69,0,0,34.8;34.3;34.0;34.1;34.3;34.4;34.4;34.2;34.2;34.3;34.6;33.3;35.0;34.3;33.7
2026-07-01T06:30:00.000Z,68,0,0,33.9;34.4;34.1;34.7;33.6;34.5;34.8;34.4;34.7;33.6;34.1;34.6;33.9;34.3;34.3
2026-07-01T06:45:00.000Z,67,0,0,33.9;34.0;33.9;33.7;33.7;34.0;34.2;34.2;34.0;33.7;33.9;34.5;34.4;34.2;34.1
2026-07-01T07:00:00.000Z,66,8,31,33.3;33.4;33.0;33.2;33.3;32.8;34.0;33.0;33.3;33.1;33.6;33.9;33.4;33.0;32.9
2026-07-01T07:15:00.000Z,65,4,7,33.3;33.4;33.0;33.5;32.8;32.8;32.8;33.4;33.8;33.0;33.4;33.6;33.0;32.9;33.5
2026-07-01T07:30:00.000Z,64,9,52,32.6;32.9;33.3;33.3;33.6;32.6;33.3;33.2;33.1;32.5;33.5;33.2;33.0;33.2;33.4
2026-07-01T07:45:00.000Z,63,998,825,33.3;33.5;33.5;33.7;32.6;33.1;33.6;32.7;33.5;32.5;32.5;33.4;32.9;33.0;33.5
2026-07-01T08:00:00.000Z,62,18,19,33.2;33.8;32.7;33.6;33.2;33.5;32.6;32.9;33.0;33.3;32.7;34.0;33.2;33.4;33.2
2026-07-01T08:15:00.000Z,61,10,86,32.9;33.5;33.6;32.9;33.4;33.2;32.9;33.2;33.8;33.2;33.8;33.1;33.2;32.6;33.2
2026-07-01T08:30:00.000Z,60,13,12,33.4;33.1;32.9;34.0;33.2;32.8;32.7;33.5;32.5;32.7;33.2;32.9;32.8;33.3;33.1
2026-07-01T08:45:00.000Z,60,9,29,33.0;33.5;33.0;33.4;32.7;32.8;32.8;33.2;33.5;33.4;33.7;33.3;33.1;33.0;33.1
2026-07-01T09:00:00.000Z,59,9,83,33.5;33.1;33.6;33.5;33.5;33.4;33.2;33.5;33.3;33.4;33.5;32.8;33.7;33.2;32.9
2026-07-01T09:15:00.000Z,58,351,89,33.5;33.2;32.7;33.5;33.5;33.4;33.4;33.0;33.4;34.3;32.9;33.0;33.0;32.8;32.7
2026-07-01T09:30:00.000Z,57,5,54,33.5;33.2;33.4;33.4;33.3;33.5;33.6;33.0;33.1;33.0;33.7;33.3;33.2;33.5;33.2
2026-07-01T09:45:00.000Z,56,1189,851,33.2;32.8;33.6;33.3;33.5;33.3;33.4;33.5;32.6;33.1;33.0;33.2;32.9;33.1;33.3
2026-07-01T10:00:00.000Z,55,50,68,32.9;33.4;33.0;33.3;33.2;33.7;33.0;33.0;33.4;33.5;33.4;32.2;32.2;33.1;32.8
2026-07-01T10:15:00.000Z,54,24,50,33.1;33.1;33.3;33.0;33.4;33.3;32.8;32.8;33.3;33.1;33.6;33.4;32.9;33.7;32.5
2026-07-01T10:30:00.000Z,53,39,17,33.2;33.3;33.1;32.9;33.1;33.5;33.7;32.7;32.8;32.8;33.6;33.6;33.3;33.4;33.2
2026-07-01T10:45:00.000Z,52,23,5,33.1;33.3;33.6;33.2;33.1;33.2;33.2;33.4;33.1;33.4;33.9;32.9;33.2;33.0;32.5
2026-07-01T11:00:00.000Z,51,20,41,33.9;33.2;32.9;33.0;33.0;32.9;32.8;33.3;33.6;33.4;32.7;32.6;33.4;33.2;33.5
2026-07-01T11:15:00.000Z,51,1327,388,32.4;32.8;33.0;33.0;33.0;32.9;33.1;33.4;33.4;33.1;32.8;33.5;33.1;33.0;33.7
2026-07-01T11:30:00.000Z,50,13,48,34.3;33.5;33.3;33.5;33.1;33.1;33.3;33.8;33.2;33.1;33.3;33.2;33.2;33.1;32.9
2026-07-01T11:45:00.000Z,49,59,68,33.3;33.2;32.8;32.9;33.5;33.0;33.2;33.3;33.0;33.1;33.2;33.1;32.9;33.1;32.8
2026-07-01T12:00:00.000Z,48,43,33,33.9;33.1;33.0;33.6;33.2;33.3;33.4;32.9;33.5;33.4;33.4;33.3;33.3;33.3;33.4
2026-07-01T12:15:00.000Z,47,926,613,33.6;33.5;33.1;33.5;33.6;33.1;33.1;33.3;33.2;32.9;32.8;33.6;33.5;33.0;33.0
2026-07-01T12:30:00.000Z,46,704,677,33.3;33.1;33.1;33.3;33.1;33.1;33.1;33.8;33.0;33.3;32.8;33.4;33.0;33.5;33.3
2026-07-01T12:45:00.000Z,45,24,6,33.2;32.6;33.1;33.2;32.9;33.2;33.5;33.7;32.3;33.3;33.5;33.1;33.0;33.5;33.2
2026-07-01T13:00:00.000Z,44,51,27,33.1;33.7;32.9;33.7;33.1;32.9;32.9;33.5;33.4;33.2;33.3;33.4;33.1;33.2;33.1
2026-07-01T13:15:00.000Z,43,221,149,33.3;33.5;33.6;32.8;33.8;33.1;33.3;33.3;32.9;33.7;32.5;33.7;32.9;33.2;33.7
2026-07-01T13:30:00.000Z,42,36,74,33.2;33.4;33.7;33.7;32.9;33.4;32.8;34.1;33.0;33.6;33.2;33.3;33.5;33.4;33.3
2026-07-01T13:45:00.000Z,42,743,823,33.1;32.8;32.6;33.3;32.8;33.2;33.4;33.4;33.1;33.0;33.2;33.7;32.9;33.3;33.5
2026-07-01T14:00:00.000Z,41,249,242,32.7;32.6;33.4;33.7;33.5;33.5;33.7;33.2;33.6;33.5;32.6;33.0;33.8;33.1;33.2
2026-07-01T14:15:00.000Z,40,60,9,32.8;33.6;32.9;33.0;32.9;33.5;32.4;33.3;33.0;33.3;33.6;33.0;33.1;33.4;33.2
2026-07-01T14:30:00.000Z,39,32,34,33.1;32.8;33.3;33.7;33.4;33.1;33.1;32.9;33.2;33.1;33.2;32.7;33.5;33.4;33.5
2026-07-01T14:45:00.000Z,38,263,194,33.0;32.8;33.4;33.2;33.1;33.5;32.9;33.2;33.4;33.1;33.9;33.4;33.5;33.6;32.8
2026-07-01T15:00:00.000Z,37,36,10,33.2;33.5;32.7;33.1;32.7;33.7;33.0;33.3;33.1;33.1;33.5;33.0;33.3;32.9;32.9
2026-07-01T15:15:00.000Z,36,1154,751,33.1;33.2;32.7;33.1;33.3;33.0;33.3;32.6;33.4;33.6;33.4;33.1;33.6;32.9;33.2
2026-07-01T15:30:00.000Z,35,34,11,32.7;33.7;32.3;33.2;33.4;33.2;33.2;32.9;33.4;33.4;32.5;33.6;33.4;33.1;32.7
2026-07-01T15:45:00.000Z,34,9,58,32.6;33.1;34.0;33.2;32.9;33.2;33.1;33.7;32.6;33.6;32.9;33.3;33.1;33.1;33.0
2026-07-01T16:00:00.000Z,33,24,74,31.9;33.8;33.4;32.8;32.9;33.3;33.1;33.1;33.8;34.4;32.9;33.5;33.3;33.1;32.9
2026-07-01T16:15:00.000Z,33,28,41,33.5;32.5;32.8;32.8;33.1;33.7;33.0;32.9;33.7;32.8;33.1;33.3;32.4;33.4;33.6
2026-07-01T16:30:00.000Z,32,256,64,33.2;33.0;33.2;33.0;32.7;33.1;32.6;33.4;33.2;32.9;33.9;33.2;33.5;33.6;33.1
2026-07-01T16:45:00.000Z,31,149,85,33.1;33.1;33.7;33.3;33.6;33.3;32.9;33.3;33.4;32.8;33.1;32.9;32.7;33.2;33.2
2026-07-01T17:00:00.000Z,30,30,56,33.6;33.2;33.9;32.8;33.3;33.0;32.9;33.1;33.1;33.6;33.9;33.2;33.2;32.9;32.6
2026-07-01T17:15:00.000Z,29,30,83,33.7;33.0;33.0;33.5;33.4;33.2;33.1;32.7;32.8;33.3;33.2;33.0;33.7;33.8;33.0
2026-07-01T17:30:00.000Z,28,142,106,33.7;33.4;33.5;33.2;32.8;33.3;33.3;32.9;33.7;33.2;33.4;33.3;33.3;33.6;32.9
2026-07-01T17:45:00.000Z,27,2,11,33.0;32.8;33.1;33.1;34.1;32.9;34.0;32.7;33.2;33.9;33.6;33.6;33.5;33.1;32.9
2026-07-01T18:00:00.000Z,26,21,79,32.9;33.3;33.7;33.3;32.9;32.5;33.1;32.2;32.9;33.6;33.3;32.6;32.7;33.6;33.3
2026-07-01T18:15:00.000Z,25,49,26,33.1;32.3;33.2;33.2;32.9;33.4;33.3;33.1;33.7;32.8;33.2;33.2;32.7;33.2;33.4
2026-07-01T18:30:00.000Z,24,26,80,33.4;33.6;33.8;33.1;32.9;33.4;33.2;32.8;32.7;33.8;33.1;32.6;33.2;33.6;33.2
2026-07-01T18:45:00.000Z,24,30,6,33.2;33.7;33.1;32.9;33.3;32.5;33.9;33.2;33.1;32.9;33.2;33.6;33.7;33.4;33.9
2026-07-01T19:00:00.000Z,23,49,57,33.5;33.0;33.0;33.4;33.3;34.1;33.5;33.4;32.7;33.1;32.9;33.8;33.4;33.5;33.3
2026-07-01T19:15:00.000Z,22,32,16,33.4;32.6;33.4;32.9;33.4;33.3;32.5;33.0;32.9;33.2;32.7;33.1;33.1;32.8;32.9
2026-07-01T19:30:00.000Z,21,54,79,33.4;33.3;33.3;33.1;33.2;33.3;33.3;33.5;33.0;32.7;33.5;33.5;32.5;32.6;32.9
2026-07-01T19:45:00.000Z,20,47,15,33.1;33.2;33.6;33.2;33.2;33.3;33.0;32.7;33.9;33.5;33.2;33.6;33.6;33.1;33.1
2026-07-01T20:00:00.000Z,50,0,0,24.5;24.6;24.3;23.9;23.8;23.6;24.0;24.1;24.5;23.8;23.9;24.0;23.5;24.3;23.6
2026-07-01T20:15:00.000Z,80,0,0,23.9;24.2;23.3;24.0;24.1;24.2;23.8;24.3;23.9;23.9;23.8;24.4;23.8;23.3;24.0
2026-07-01T20:30:00.000Z,100,0,0,24.2;23.8;23.7;23.9;24.1;23.8;23.6;23.7;24.0;23.6;23.8;24.0;23.8;24.0;24.5
2026-07-01T20:45:00.000Z,100,0,0,24.2;24.0;24.0;24.3;24.0;23.6;23.5;24.0;24.5;24.3;23.8;24.1;24.1;23.5;24.4
2026-07-01T21:00:00.000Z,99,1379,840,33.3;33.1;32.6;33.7;33.3;33.1;33.3;32.8;32.9;32.5;32.6;33.0;33.1;33.6;33.3
2026-07-01T21:15:00.000Z,98,23,21,33.0;33.3;33.9;33.7;33.4;33.3;32.8;33.2;33.0;34.0;33.0;33.1;33.1;33.1;33.0
2026-07-01T21:30:00.000Z,97,16,7,33.2;33.1;33.1;33.2;33.1;32.8;33.4;33.3;33.3;33.0;33.2;33.0;33.2;33.7;33.4
2026-07-01T21:45:00.000Z,96,9,22,33.0;33.3;33.7;33.7;32.8;33.6;33.5;33.5;33.5;34.0;33.3;33.3;32.6;33.4;33.4
2026-07-01T22:00:00.000Z,95,25,66,33.3;33.3;33.1;33.3;33.4;33.2;33.4;33.3;33.0;33.3;33.2;33.1;33.3;33.2;33.8
2026-07-01T22:15:00.000Z,95,41,22,33.1;33.7;33.6;33.0;33.2;33.9;33.2;33.4;33.1;33.0;33.4;32.4;32.7;33.7;33.4
2026-07-01T22:30:00.000Z,94,564,841,33.4;33.2;32.9;33.7;33.2;33.7;33.0;33.3;32.9;32.8;33.2;33.1;33.0;33.0;33.1
2026-07-01T22:45:00.000Z,93,0,88,33.1;33.7;33.0;33.0;33.4;33.3;33.0;33.4;33.5;32.6;33.0;33.3;33.4;33.4;32.5
2026-07-01T23:00:00.000Z,92,0,0,34.4;34.9;34.1;34.1;34.4;34.1;34.0;33.8;34.2;33.6;34.5;34.3;34.4;34.6;34.2
2026-07-01T23:15:00.000Z,91,0,0,34.5;34.2;34.1;33.8;34.1;34.3;33.9;34.9;34.2;33.9;33.9;34.5;34.5;34.8;33.5
2026-07-01T23:30:00.000Z,90,2,30,34.1;34.2;33.8;34.2;34.4;33.6;34.0;34.5;34.4;34.5;34.4;33.6;34.4;33.9;34.6
2026-07-01T23:45:00.000Z,89,0,0,33.9;34.6;33.9;34.2;34.2;34.1;34.2;34.0;34.1;33.9;34.2;34.3;34.2;34.1;34.6
2026-07-02T00:00:00.000Z,88,0,0,34.0;33.7;33.8;34.0;34.5;34.4;34.2;34.4;34.2;34.2;34.5;33.9;34.4;34.5;34.7
2026-07-02T00:15:00.000Z,87,10,11,34.8;33.8;34.1;34.1;33.9;34.2;34.5;34.2;34.4;34.5;34.2;34.3;34.2;34.6;33.9
2026-07-02T00:30:00.000Z,86,0,0,33.5;33.8;34.0;34.5;34.2;34.0;34.3;34.8;33.6;34.1;33.7;34.6;34.2;34.3;34.1
2026-07-02T00:45:00.000Z,86,0,0,34.4;34.0;34.1;34.4;34.6;34.1;34.3;33.9;34.2;33.7;33.9;33.9;34.5;34.2;34.3
2026-07-02T01:00:00.000Z,85,0,0,34.9;34.0;34.0;33.3;34.4;34.4;34.3;34.0;33.7;34.2;34.5;33.8;34.7;34.2;35.0
2026-07-02T01:15:00.000Z,84,8,13,34.4;34.3;33.9;34.1;34.5;33.8;33.9;34.2;33.9;34.2;34.0;34.3;34.2;34.0;33.6
2026-07-02T01:30:00.000Z,83,0,0,33.6;34.3;34.6;33.9;34.3;33.8;34.3;34.4;33.9;34.9;34.5;34.2;34.6;34.6;33.6
2026-07-02T01:45:00.000Z,82,0,0,34.7;34.6;34.3;34.5;34.1;34.1;34.2;35.0;34.3;33.9;33.6;34.5;34.5;34.3;34.1
2026-07-02T02:00:00.000Z,81,0,0,34.4;34.1;33.6;34.1;34.9;34.1;34.4;34.2;34.3;34.6;34.1;34.3;34.6;33.8;34.6
2026-07-02T02:15:00.000Z,80,3,33,33.8;34.0;34.1;34.7;34.2;33.4;34.3;34.9;33.9;33.8;34.0;34.3;34.1;34.3;33.8
2026-07-02T02:30:00.000Z,79,0,0,33.9;33.9;34.3;34.3;34.2;34.5;34.3;33.9;34.1;34.3;34.7;34.2;33.9;34.2;34.5
2026-07-02T02:45:00.000Z,78,0,0,34.4;34.8;33.3;33.7;33.9;33.9;33.7;34.5;34.4;34.2;34.5;33.5;34.3;33.9;33.9
2026-07-02T03:00:00.000Z,77,0,0,34.0;34.6;34.1;34.3;33.9;34.6;34.3;34.2;34.8;34.8;34.0;33.9;34.0;34.3;33.9
2026-07-02T03:15:00.000Z,77,0,0,34.1;34.0;33.7;33.8;34.1;34.1;34.5;33.9;34.3;34.1;34.7;34.0;33.6;34.1;34.0
2026-07-02T03:30:00.000Z,76,3,38,33.4;34.5;34.3;33.5;34.1;34.4;33.8;34.4;34.1;34.6;34.3;34.4;34.2;34.1;34.1
2026-07-02T03:45:00.000Z,75,0,0,34.0;33.9;35.1;33.8;33.7;34.6;34.4;34.4;33.9;34.2;34.1;33.8;34.5;33.8;35.2
2026-07-02T04:00:00.000Z,74,0,0,34.1;33.9;34.2;34.3;34.8;34.2;34.3;34.5;34.2;34.3;34.3;34.1;34.4;34.5;34.1
2026-07-02T04:15:00.000Z,73,0,0,34.4;34.3;34.2;34.2;34.1;34.2;34.5;34.8;34.0;33.8;34.3;34.0;34.3;33.9;34.3
2026-07-02T04:30:00.000Z,72,2,35,34.7;34.3;34.8;34.3;34.4;33.4;34.6;35.2;34.4;34.4;33.9;34.2;33.9;34.2;34.0
2026-07-02T04:45:00.000Z,71,0,0,34.1;34.6;34.8;34.1;34.1;34.1;34.5;34.5;34.4;34.5;34.1;34.6;33.9;35.0;33.9
2026-07-02T05:00:00.000Z,70,0,0,34.4;33.8;34.6;34.5;34.8;33.6;34.4;34.7;34.2;33.7;34.1;34.2;34.3;34.1;34.8
2026-07-02T05:15:00.000Z,69,0,0,34.1;34.4;34.6;35.1;34.5;33.2;34.2;33.7;34.2;34.3;33.7;34.1;34.2;34.5;34.0
2026-07-02T05:30:00.000Z,68,1,32,34.4;34.0;34.1;33.6;33.5;34.4;35.0;34.3;34.7;33.6;34.5;34.1;34.4;34.5;33.7
2026-07-02T05:45:00.000Z,68,3,36,34.0;34.5;34.8;34.2;34.0;33.8;34.4;33.9;33.9;34.3;34.3;34.1;34.0;34.9;34.9
2026-07-02T06:00:00.000Z,67,0,0,34.2;34.0;34.0;34.6;34.7;34.0;34.9;34.4;33.4;33.7;34.3;33.9;34.3;33.9;34.2
2026-07-02T06:15:00.000Z,66,8,32,34.2;33.9;33.8;34.8;33.8;33.8;33.8;34.8;34.9;33.8;33.9;34.4;33.8;34.0;33.9
2026-07-02T06:30:00.000Z,65,0,0,34.7;34.8;33.6;34.2;33.9;34.5;34.3;34.4;34.9;34.3;34.0;34.5;34.1;34.1;34.4
2026-07-02T06:45:00.000Z,64,0,0,34.3;33.5;33.7;34.4;33.9;34.8;33.6;34.2;34.7;33.5;34.0;33.5;34.2;34.0;33.8
2026-07-02T07:00:00.000Z,63,37,17,32.4;33.4;33.9;32.9;33.1;33.6;33.0;33.5;33.0;33.7;33.3;32.7;33.2;32.8;32.7
2026-07-02T07:15:00.000Z,62,33,45,32.8;33.1;33.2;33.4;33.8;33.2;33.2;32.7;33.0;32.8;33.0;33.2;32.9;33.9;33.5
2026-07-02T07:30:00.000Z,61,45,30,32.9;33.2;33.2;33.2;33.1;33.1;33.1;33.6;33.2;33.2;33.3;33.3;33.2;33.0;33.0
2026-07-02T07:45:00.000Z,60,3,66,33.9;33.4;32.4;33.2;33.1;32.6;32.6;33.5;33.5;32.5;33.2;33.4;33.1;32.7;32.9
2026-07-02T08:00:00.000Z,59,16,8,33.6;33.2;32.9;33.4;33.6;32.5;32.9;33.4;33.0;32.5;33.0;33.2;33.5;33.0;32.6
2026-07-02T08:15:00.000Z,59,50,10,32.8;32.9;34.0;33.3;33.4;33.3;33.4;32.7;33.2;33.0;33.4;32.9;33.3;33.2;32.5
2026-07-02T08:30:00.000Z,58,54,69,33.2;33.1;32.8;33.0;33.3;33.4;32.6;33.4;33.3;33.8;33.2;33.2;33.0;33.0;33.4
2026-07-02T08:45:00.000Z,57,1127,788,32.9;33.7;32.7;33.7;33.4;33.1;32.9;33.2;33.1;33.6;33.5;33.1;32.5;32.6;32.9
2026-07-02T09:00:00.000Z,56,24,25,32.8;33.8;33.5;33.1;33.5;33.2;33.3;33.5;33.1;32.6;33.3;33.2;33.0;32.9;33.1
2026-07-02T09:15:00.000Z,55,52,73,32.7;33.2;32.8;33.4;33.6;33.4;33.0;33.2;33.2;32.9;32.9;33.4;33.2;33.3;33.5
2026-07-02T09:30:00.000Z,54,37,28,33.1;33.7;33.2;34.1;33.0;33.3;33.7;32.6;32.8;34.0;33.3;33.3;33.3;32.9;32.9
2026-07-02T09:45:00.000Z,53,15,45,33.3;33.2;33.5;32.6;34.0;33.5;33.4;32.8;33.3;33.8;32.9;33.4;32.7;33.3;33.0
2026-07-02T10:00:00.000Z,52,48,72,33.1;32.8;33.2;33.4;33.5;33.2;33.2;33.1;32.9;33.1;33.5;34.0;33.2;33.4;33.3
2026-07-02T10:15:00.000Z,51,2,72,33.6;33.4;33.7;33.4;32.9;33.3;33.4;33.0;33.3;33.0;32.8;33.1;33.2;33.0;33.0
2026-07-02T10:30:00.000Z,50,52,40,33.2;32.5;33.8;33.7;32.9;33.4;32.9;32.8;33.0;34.0;33.5;32.6;33.5;33.5;33.2
2026-07-02T10:45:00.000Z,50,0,36,33.0;33.9;33.0;32.7;33.2;33.5;33.4;33.7;33.2;33.1;33.2;33.3;32.8;32.7;33.6
2026-07-02T11:00:00.000Z,49,35,88,32.8;33.9;33.5;33.1;33.1;33.5;33.8;33.2;33.3;33.5;33.9;34.0;33.0;33.6;32.6
2026-07-02T11:15:00.000Z,48,51,24,32.5;33.5;33.1;32.9;33.5;33.2;33.2;33.0;33.3;33.3;33.4;32.6;33.7;32.7;33.0
2026-07-02T11:30:00.000Z,47,34,9,33.0;32.9;32.9;33.8;33.4;32.9;33.5;33.1;33.3;33.3;32.9;32.9;32.8;33.8;33.0
2026-07-02T11:45:00.000Z,46,394,121,33.7;33.3;33.2;33.7;33.2;33.3;32.9;33.6;32.9;33.0;33.1;33.4;33.4;33.4;32.8
2026-07-02T12:00:00.000Z,45,30,17,33.5;33.4;32.9;33.3;33.5;33.6;33.7;33.5;33.1;32.6;33.2;33.4;32.9;33.5;33.6
2026-07-02T12:15:00.000Z,44,9,89,33.2;32.7;33.1;34.1;32.7;33.3;33.1;33.4;33.2;32.9;33.2;33.1;33.1;33.4;33.3
2026-07-02T12:30:00.000Z,43,14,24,32.9;32.7;33.0;33.8;33.8;32.7;33.1;32.8;33.6;33.2;34.3;34.0;33.4;32.9;33.6
2026-07-02T12:45:00.000Z,42,10,63,33.2;32.7;33.5;33.6;32.5;33.4;33.4;33.9;33.6;33.6;33.0;33.5;33.1;32.9;33.4
2026-07-02T13:00:00.000Z,41,25,88,33.1;33.0;33.3;33.3;33.9;32.4;32.4;33.0;33.5;33.5;33.0;33.4;33.4;33.3;33.0
2026-07-02T13:15:00.000Z,41,382,137,33.1;33.2;33.1;33.1;32.6;32.7;33.0;33.0;33.0;32.9;33.5;33.1;33.4;32.7;33.4
2026-07-02T13:30:00.000Z,40,283,238,33.2;32.7;33.7;32.9;33.4;33.7;33.4;33.2;33.1;33.0;33.2;33.7;33.6;33.0;33.1
2026-07-02T13:45:00.000Z,39,55,20,33.1;33.0;33.3;33.4;33.5;32.7;33.2;33.5;33.1;33.1;32.6;32.8;33.1;33.3;34.0
2026-07-02T14:00:00.000Z,38,224,201,32.7;33.6;33.1;33.2;32.8;33.2;33.0;33.3;33.0;33.1;33.5;33.2;32.9;33.8;33.8
2026-07-02T14:15:00.000Z,37,11,42,33.1;32.8;32.9;33.1;33.2;33.3;33.6;33.7;33.0;32.9;33.5;33.2;33.8;33.4;32.3
2026-07-02T14:30:00.000Z,36,52,13,32.9;33.3;33.0;33.1;32.8;32.8;33.6;33.4;33.0;33.1;33.8;33.4;33.3;33.3;33.8
2026-07-02T14:45:00.000Z,35,34,36,33.3;33.0;33.3;33.9;32.9;33.0;33.0;33.0;33.3;33.0;33.7;33.2;32.4;33.1;33.3
2026-07-02T15:00:00.000Z,34,174,248,33.0;32.8;32.4;33.7;33.7;34.1;33.3;33.5;33.5;32.8;32.8;33.6;32.5;33.2;33.3
2026-07-02T15:15:00.000Z,33,792,758,33.4;33.1;33.0;33.3;33.0;33.3;34.0;33.3;32.9;33.2;33.7;33.0;32.7;32.8;33.0
2026-07-02T15:30:00.000Z,32,189,231,33.8;33.5;33.6;33.0;33.1;33.2;33.1;33.3;33.3;33.5;32.9;33.1;33.1;33.2;32.5
2026-07-02T15:45:00.000Z,32,245,124,33.5;33.1;33.3;33.3;32.8;33.6;32.9;32.8;33.6;33.1;33.0;33.0;32.8;33.2;33.0
2026-07-02T16:00:00.000Z,31,2,83,33.3;33.3;33.2;33.0;33.3;33.0;33.0;33.6;33.5;33.6;33.6;32.8;32.8;33.5;33.5
2026-07-02T16:15:00.000Z,30,1,12,33.0;32.8;32.3;32.9;33.6;33.3;33.0;33.3;33.1;33.2;33.4;33.5;32.8;33.5;33.5
2026-07-02T16:30:00.000Z,29,185,201,33.7;33.5;33.1;33.4;33.5;32.9;33.4;33.3;33.5;33.8;32.4;32.9;33.2;33.1;33.1
2026-07-02T16:45:00.000Z,28,1287,783,33.5;33.8;33.5;33.6;32.9;33.3;33.0;33.0;33.3;32.6;33.1;33.9;32.7;33.1;33.6
2026-07-02T17:00:00.000Z,27,1,67,33.1;33.8;33.0;33.0;33.5;33.4;33.3;33.4;33.1;32.8;33.4;33.1;32.8;33.6;33.3
2026-07-02T17:15:00.000Z,26,49,6,32.6;33.1;33.4;33.5;33.1;33.6;33.2;33.1;33.5;33.2;33.3;33.2;33.0;32.9;33.4
2026-07-02T17:30:00.000Z,25,31,20,33.8;33.9;33.3;33.3;33.7;33.1;33.2;33.6;32.8;32.9;32.9;33.1;32.5;33.3;33.8
